"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","GHCND.name","GHCND.lat","GHCND.lon","GHCND.dist_from_event.km","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km","GHCND.prcp_cat","Q24.f2","Q24.f6"
"197","USC00029634",2013-04-10,433408,"1500",2013-04-10,"1500","IOWA",19,"Heavy Rain",79,"HAMILTON","DMX","",NA,"",42.42,-93.84,42.42,-93.84,0,3,"USD","YOUNGTOWN",33.595,-112.3014,8.2253569743508,"KEBS","WEBSTER CITY",42.43,-93.87,"IA",2.70484270362701,0,"  4","  3"
"198","USC00032148",2013-06-19,450784,"1330",2013-06-19,"1415","TEXAS",48,"Heavy Rain",191,"HALL","LUB","",NA,"",34.6905,-100.6751,34.6905,-100.6751,0,3,"USD","DUMAS",33.8886,-91.4878,1.19703469011685,"KCDS","CHILDRESS",34.43,-100.28,"TX",46.3989604135187,0,"  2","  1"
"199","USC00032760",2013-04-17,434986,"0200",2013-04-17,"0200","IOWA",19,"Heavy Rain",15,"BOONE","DMX","",NA,"",41.88,-93.82,41.88,-93.82,0,3,"USD","GEORGETOWN",35.1261,-91.4533,5.6504143777358,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",19.0865320445136,0,"  0","  0"
"200","USC00033600",2013-07-24,468464,"2330",2013-07-25,"1500","TEXAS",48,"Heavy Rain",381,"RANDALL","AMA","",NA,"",35.1319,-101.9201,35.1616,-101.9021,0,3,"USD","JASPER",36.0075,-93.1872,18.5387370193368,"KAMA","AMARILLO",35.23,-101.7,"TX",22.8099214876568,3,"  0","  0"
"201","USC00034134",2013-04-18,435130,"1200",2013-04-18,"1200","IOWA",19,"Heavy Rain",23,"BUTLER","DMX","",NA,"",42.57,-92.78,42.57,-92.78,0,3,"USD","LEOLA",34.1742,-92.5947,14.9881385422856,"KALO","WATERLOO",42.55,-92.4,"IA",31.2373394516691,0,"  2","  3"
"202","USC00035036",2013-07-16,471156,"2310",2013-07-16,"2310","NORTH CAROLINA",37,"Heavy Rain",11,"AVERY","GSP","",NA,"",36.12,-81.98,36.12,-81.98,0,3,"USD","MTN HOME 1 NNW",36.3458,-92.3939,4.10433186648109,"KTNB","BOONE",36.2,-81.65,"NC",30.9673124480563,0,"  0","  1"
"203","USC00036768",2013-04-18,434991,"1034",2013-04-18,"1034","IOWA",19,"Heavy Rain",173,"TAYLOR","DMX","",NA,"",40.62,-94.49,40.62,-94.49,0,3,"USD","SPARKMAN",33.9153,-92.8267,6.80451450107079,"KCSQ","CRESTON",41.02,-94.37,"IA",45.6609042685979,0,"  4","  4"
"204","USC00040444",2013-08-03,472274,"0300",2013-08-04,"1500","WYOMING",56,"Heavy Rain",5,"CAMPBELL","UNR","",NA,"",44.7728,-105.8918,44.7079,-105.8232,5,3,"USD","BAKERSFIELD 5 NW",35.4186,-119.0508,7.97902275597688,"KGCC","GILLETTE",44.35,-105.53,"WY",55.1239651151508,0,"  1","  1"
"205","USC00043463",2013-08-06,461868,"0601",2013-08-06,"1237","MISSOURI",29,"Heavy Rain",225,"WEBSTER","SGF","",NA,"",37.16,-92.94,37.16,-92.94,0,3,"USD","GLENNVILLE",35.7269,-118.7006,15.4106975953206,"KSGF","SPRINGFIELD",37.23,-93.38,"MO",39.7875619817585,0,"  2","  0"
"206","USC00049855",2013-07-29,474416,"0127",2013-07-29,"0127","KANSAS",20,"Heavy Rain",7,"BARBER","DDC","",NA,"",37.01,-98.65,37.01,-98.65,0,3,"USD","YOSEMITE PARK HQ",37.75,-119.5897,1.43409287029147,"KAVK","ALVA REGIONAL AIRPT",36.77,-98.67,"OK",26.7759509521067,0,"  0","  1"
