prcp.id,year,prcp.prcp,freq
US10adam013,2005,2,15
US10adam013,2005,3,10
US10adam013,2005,4,10
US10adam013,2005,5,5
US10adam013,2005,6,1
US10adam013,2006,0,6
US10adam013,2006,1,26
US10adam013,2006,2,8
US10adam013,2006,3,12
US10adam013,2006,4,10
US10adam013,2006,5,5
US10adam013,2007,0,5
US10adam013,2007,1,17
US10adam013,2007,2,17
US10adam013,2007,3,21
US10adam013,2007,4,7
US10adam013,2007,5,5
US10adam013,2007,6,3
US10adam013,2008,0,12
US10adam013,2008,1,15
US10adam013,2008,2,16
US10adam013,2008,3,18
US10adam013,2008,4,7
US10adam013,2008,5,10
US10adam013,2008,6,3
US10adam013,2009,0,10
US10adam013,2009,1,33
US10adam013,2009,2,16
US10adam013,2009,3,16
US10adam013,2009,4,8
US10adam013,2009,5,1
US10adam013,2009,6,2
US10adam013,2010,0,256
US10adam013,2010,1,24
US10adam013,2010,2,15
US10adam013,2010,3,16
US10adam013,2010,4,15
US10adam013,2010,5,5
US10adam013,2011,0,213
US10adam013,2011,1,42
US10adam013,2011,2,16
US10adam013,2011,3,14
US10adam013,2011,4,15
US10adam013,2011,5,5
US10adam013,2012,0,317
US10adam013,2012,1,13
US10adam013,2012,2,10
US10adam013,2012,3,7
US10adam013,2012,4,10
US10adam013,2012,5,3
US10adam013,2013,0,258
US10adam013,2013,1,29
US10adam013,2013,2,15
US10adam013,2013,3,9
US10adam013,2013,4,9
US10adam013,2013,5,3
US10adam013,2013,6,1
US10adam013,2014,0,159
US10adam013,2014,1,10
US10adam013,2014,2,9
US10adam013,2014,3,5
US10adam013,2014,4,4
US10adam013,2014,5,2
US10adam013,2014,6,3
US10adam017,2004,0,146
US10adam017,2004,1,14
US10adam017,2004,2,5
US10adam017,2004,3,7
US10adam017,2004,4,9
US10adam017,2004,5,2
US10adam017,2005,0,300
US10adam017,2005,1,25
US10adam017,2005,2,15
US10adam017,2005,3,8
US10adam017,2005,4,11
US10adam017,2005,5,3
US10adam017,2005,6,1
US10adam017,2006,0,278
US10adam017,2006,1,30
US10adam017,2006,2,19
US10adam017,2006,3,13
US10adam017,2006,4,9
US10adam017,2006,5,5
US10adam017,2006,6,1
US10adam017,2007,0,105
US10adam017,2007,1,11
US10adam017,2007,2,13
US10adam017,2007,3,7
US10adam017,2007,4,6
US10adam017,2007,5,3
US10adam017,2007,6,1
US10adam017,2009,0,95
US10adam017,2009,1,13
US10adam017,2009,2,9
US10adam017,2009,3,5
US10adam017,2009,4,2
US10adam017,2009,5,1
US10adam017,2009,6,2
US10adam017,2010,0,198
US10adam017,2010,1,16
US10adam017,2010,2,14
US10adam017,2010,3,10
US10adam017,2010,4,8
US10adam017,2010,5,6
US10adam017,2011,0,178
US10adam017,2011,1,22
US10adam017,2011,2,7
US10adam017,2011,3,13
US10adam017,2011,4,9
US10adam017,2011,5,4
US10adam017,2012,0,127
US10adam017,2012,1,3
US10adam017,2012,2,8
US10adam017,2012,3,3
US10adam017,2012,4,6
US10adam017,2012,5,2
US10adam017,2013,0,1
US10adam017,2013,1,6
US10adam017,2013,2,13
US10adam017,2013,3,10
US10adam017,2013,4,6
US10adam017,2013,5,2
US10adam017,2013,6,3
US10adam017,2014,0,1
US10adam017,2014,1,5
US10adam017,2014,2,3
US10adam017,2014,3,6
US10adam017,2014,4,11
US10adam017,2014,5,6
US10adam017,2014,6,3
US10adam017,2015,1,5
US10adam017,2015,2,1
US10adam017,2015,3,2
US10adam017,2015,4,4
US10adam017,2015,5,2
US10adam032,2009,0,54
US10adam032,2009,1,14
US10adam032,2009,2,4
US10adam032,2009,3,3
US10adam032,2009,4,4
US10adam032,2009,5,1
US10adam032,2010,0,272
US10adam032,2010,1,42
US10adam032,2010,2,17
US10adam032,2010,3,13
US10adam032,2010,4,12
US10adam032,2010,5,5
US10adam032,2010,6,4
US10adam032,2011,0,279
US10adam032,2011,1,34
US10adam032,2011,2,13
US10adam032,2011,3,19
US10adam032,2011,4,12
US10adam032,2011,5,6
US10adam032,2011,6,2
US10adam032,2012,0,313
US10adam032,2012,1,20
US10adam032,2012,2,5
US10adam032,2012,3,13
US10adam032,2012,4,11
US10adam032,2012,5,4
US10adam032,2013,0,285
US10adam032,2013,1,35
US10adam032,2013,2,21
US10adam032,2013,3,10
US10adam032,2013,4,6
US10adam032,2013,5,7
US10adam032,2013,6,1
US10adam032,2014,0,279
US10adam032,2014,1,36
US10adam032,2014,2,20
US10adam032,2014,3,12
US10adam032,2014,4,6
US10adam032,2014,5,9
US10adam032,2014,6,1
