"","EVENTS.begin_date","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.ID","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","GHCND.prcp_cat","NA","NA","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km"
"31",NA,2015-09-06,NA,"0130",2015-09-07,"1000","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.84,-94.1,41.84,-94.1,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",31.2242774888208,6,"  0","  1",0,0,0,0,0,0
"32",NA,2015-09-06,NA,"0430",2015-09-07,"0700","WISCONSIN",55,"Heavy Rain",135,"WAUPACA","GRB","",NA,"",44.62,-88.75,44.62,-88.75,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KCLI","CLINTONVILLE",44.62,-88.71,"WI",3.16940348412593,6,"  0","  0",0,0,0,0,0,0
"33",NA,2015-09-06,NA,"0430",2015-09-07,"0700","WISCONSIN",55,"Heavy Rain",135,"WAUPACA","GRB","",NA,"",44.62,-88.75,44.62,-88.75,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KCLI","CLINTONVILLE",44.62,-88.71,"WI",3.16940348412593,6,"  0","  0",0,0,0,0,0,0
"34",NA,2015-09-06,NA,"0430",2015-09-07,"0700","WISCONSIN",55,"Heavy Rain",135,"WAUPACA","GRB","",NA,"",44.62,-88.75,44.62,-88.75,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KCLI","CLINTONVILLE",44.62,-88.71,"WI",3.16940348412593,6,"  0","  0",0,0,0,0,0,0
"35",NA,2015-09-06,NA,"2330",2015-09-07,"0715","WISCONSIN",55,"Heavy Rain",97,"PORTAGE","GRB","",NA,"",44.6312,-89.6781,44.6312,-89.6781,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KSTE","STEVENS POINT",44.55,-89.53,"WI",14.8171859369451,6,"  1","  0",0,0,0,0,0,0
"36",NA,2015-09-06,NA,"2330",2015-09-07,"0715","WISCONSIN",55,"Heavy Rain",97,"PORTAGE","GRB","",NA,"",44.6312,-89.6781,44.6312,-89.6781,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KSTE","STEVENS POINT",44.55,-89.53,"WI",14.8171859369451,6,"  1","  0",0,0,0,0,0,0
"37",NA,2015-09-06,NA,"2330",2015-09-07,"0715","WISCONSIN",55,"Heavy Rain",97,"PORTAGE","GRB","",NA,"",44.6312,-89.6781,44.6312,-89.6781,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KSTE","STEVENS POINT",44.55,-89.53,"WI",14.8171859369451,6,"  1","  0",0,0,0,0,0,0
"38",NA,2015-08-16,NA,"1549",2015-08-17,"1549","IOWA",19,"Heavy Rain",147,"PALO ALTO","DMX","",NA,"",42.98,-94.74,42.98,-94.74,0,3,"USD","WAIKOLOA VILLAGE 2.7 ENE",19.9465,-155.7883,1.60237465722504,"KSPW","SPENCER",43.17,-95.15,"IA",39.4820322283718,0,"  0","  0",0,0,0,0,0,0
"39",NA,2015-12-27,NA,"0336",2015-12-27,"0336","MISSOURI",29,"Heavy Rain",77,"GREENE","SGF","",NA,"",37.17,-93.32,37.17,-93.32,0,3,"USD","WAIKOLOA VILLAGE 2.7 ENE",19.9465,-155.7883,6.20435837804922,"KSGF","SPRINGFIELD",37.23,-93.38,"MO",8.53905034326657,0,"  5","  5",0,0,0,0,0,0
"40",NA,2015-07-14,NA,"1400",2015-07-14,"1530","NEW JERSEY",34,"Heavy Rain",15,"GLOUCESTER","PHI","",NA,"",39.6002,-75.0378,39.6002,-75.0378,0,3,"USD","LAIE 0.2 WNW",21.65,-157.9287,1.7775338734541,"KMIV","MILLVILLE",39.37,-75.07,"NJ",25.774643193742,1,"  0","  0",0,0,0,0,0,0
"41",NA,2015-09-03,NA,"1700",2015-09-03,"1800","WASHINGTON",53,"Heavy Rain",55,"SAN JUAN","SEW","",NA,"",48.53,-123.02,48.53,-123.02,10,3,"USD","LAIE 0.2 WNW",21.65,-157.9287,0.624644587003146,"KFHR","FRIDAY HARBOR",48.52,-123.02,"WA",1.11319490793267,1,"  3","  4",0,0,0,0,0,0
"42",NA,2015-06-15,NA,"0028",2015-06-15,"0028","INDIANA",18,"Heavy Rain",103,"MIAMI","IWX","",NA,"",40.7215,-86.1276,40.7215,-86.1276,0,3,"USD","KAILUA 3.1 N",21.4472,-157.7372,0.864230005449406,"KGUS","GRISSOM AFB",40.65,-86.15,"IN",8.18086073641222,1,"  3","  4",0,0,0,0,0,0
