"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.fips","EVENTS.begin_lat","EVENTS.begin_lon"
"196","USC00094204",2011-06-23,307533,48,25.9056,-97.4316
"197","USC00095492",2011-09-04,332001,12,30.4441,-84.2727
"198","USC00104154",2011-06-09,324540,29,40.08,-93.6
"199","USC00111265",2011-05-13,308125,51,36.72,-80.97
"200","USC00112353",2011-10-06,351521,30,46.25,-114.15
"201","USC00112483",2011-03-09,295255,1,33.533,-86.7985
"202","USC00112745",2011-09-01,346965,12,27.86,-82.8
"203","USC00112745",2011-12-12,352201,12,30.357,-83.4345
"204","USC00113312",2011-05-19,306406,31,40.2802,-98.1135
"205","USC00113312",2011-12-11,351391,12,30.484,-84.3
"206","USC00113612",2011-03-04,279330,22,30.5,-90.3692
"207","USC00113612",2011-06-03,308605,15,19.7785,-155.9441
"208","USC00114400",2011-05-02,296672,15,20.9064,-156.9946
"209","USC00114879",2011-07-15,311058,19,43.33,-93.06
"210","USC00115888",2011-03-24,289759,6,36.9675,-121.9798
"211","USC00115888",2011-05-02,296673,15,21.1106,-156.8683
"212","USC00115901",2011-07-15,311060,19,43.44,-93.22
"213","USC00115901",2011-07-28,332712,17,42.31,-90.22
"214","USC00116779",2011-06-26,315115,17,37.648,-89.0991
"215","USC00118293",2011-05-20,306383,20,39.82,-98.55
"216","USC00118293",2011-07-28,332717,17,42.32,-90.22
"217","USC00118293",2011-08-01,331824,12,30.49,-84.25
"218","USC00118293",2011-09-01,346977,12,27.67,-82.38
"219","USC00118293",2011-12-11,351410,12,30.2003,-84.3443
"220","USC00118293",2011-12-11,351410,12,30.2003,-84.3443
"221","USC00118293",2011-12-11,351410,12,30.2003,-84.3443
"222","USC00118293",2011-12-11,351392,12,30.31,-84.42
"223","USC00118293",2011-12-11,351392,12,30.31,-84.42
"224","USC00118293",2011-12-11,351392,12,30.31,-84.42
"225","USC00118293",2011-12-11,351390,12,30.51,-84.33
"226","USC00118293",2011-12-11,351390,12,30.51,-84.33
"227","USC00118293",2011-12-11,351390,12,30.51,-84.33
"228","USC00130364",2011-12-03,356082,29,37.23,-89.57
"229","USC00130608",2011-07-24,323085,28,31.56,-89.5
"230","USC00131635",2011-06-18,318199,55,43.88,-91.26
"231","USC00131635",2011-10-07,344960,31,40.13,-99.45
"232","USC00132603",2011-12-11,351393,12,30.39,-84.35
"233","USC00132689",2011-04-06,288715,15,21.4252,-158.0878
"234","USC00132864",2011-12-11,351402,12,30.02,-84.986
"235","USC00133675",2011-07-18,331350,8,39.372,-106.98
"236","USC00134502",2011-04-04,293884,39,40.12,-83.95
"237","USC00136527",2011-04-04,293882,39,40.1,-84.63
"238","USC00136940",2011-07-18,331354,8,39.37,-107.103
"239","USC00140200",2011-10-10,351611,16,46.47,-114.63
"240","USC00141395",2011-12-13,353868,15,20.7607,-156.4522
"241","USC00141875",2011-01-02,277172,6,37.0827,-122.0875
"242","USC00143897",2011-10-06,351486,30,48.53,-115.57
"243","USC00143997",2011-01-01,277167,6,36.7235,-121.7265
"244","USC00143997",2011-10-06,351487,30,48.22,-115.19
"245","USC00143997",2011-12-20,352020,1,31.595,-85.783
"246","USC00144598",2011-01-02,277186,6,37.0674,-122.08
"247","USC00144598",2011-04-26,291815,29,36.5869,-92.2846
"248","USC00147542",2011-10-06,351485,30,48.41,-115.31
"249","USC00150381",2011-06-26,317439,21,36.9439,-88.7352
"250","USC00151080",2011-05-12,297017,15,21.5835,-158.0946
"251","USC00151080",2011-07-30,338809,6,35.2,-118.36
"252","USC00151080",2011-10-10,351610,16,46.15,-115.6
"253","USC00152442",2011-03-04,279327,22,30.43,-90.3629
"254","USC00153744",2011-07-24,323083,28,32.49,-88.84
"255","USC00154255",2011-06-20,317138,21,36.5889,-83.6867
"256","USC00154375",2011-11-01,350488,5,35.27,-93.1
"257","USC00155389",2011-05-11,306895,21,38.6,-83.17
"258","USC00155389",2011-05-19,306397,31,40.2064,-98.2192
"259","USC00155389",2011-05-25,313668,31,40.75,-98.83
"260","USC00155389",2011-05-25,313668,31,40.75,-98.83
"261","USC00155389",2011-05-25,313674,31,40.0834,-98.8224
"262","USC00155389",2011-05-25,313674,31,40.0834,-98.8224
"263","USC00155389",2011-07-27,332929,17,42.42,-90.31
"264","USC00155389",2011-07-30,338807,6,36.79,-118.67
"265","USC00156595",2011-03-26,295231,1,32.7251,-86.5352
"266","USC00157510",2011-04-26,303212,48,31.4,-96.58
"267","USC00157592",2011-06-18,317511,29,37.3,-89.53
"268","USC00157592",2011-07-06,334415,31,40.9741,-97.73
"269","USC00158432",2011-04-01,300619,5,34.32,-93.83
"270","USC00158446",2011-11-21,348836,5,34.55,-94.22
"271","USC00158633",2011-05-12,297015,15,22.2161,-159.4281
"272","USC00158633",2011-07-24,323082,28,32.55,-88.82
"273","USC00158633",2011-07-27,332923,17,42.29,-89.63
"274","USC00158633",2011-11-01,350483,5,34.6524,-93.5334
"275","USC00158635",2011-07-27,332934,17,42.29,-89.63
"276","USC00164732",2011-06-13,304238,12,29.6,-81.21
"277","USC00204104",2011-06-21,306425,22,32.03,-93.7
"278","USC00204161",2011-04-12,293905,21,38.4765,-84.8017
"279","USC00204161",2011-07-13,312677,56,41.14,-104.43
"280","USC00206220",2011-06-21,306424,22,32.03,-93.7
"281","USC00208345",2011-10-08,350117,12,27.63,-80.4784
"282","USC00209110",2011-06-27,322376,27,48.06,-92.76
"283","USC00213282",2011-07-05,333153,31,41.2524,-97.55
"284","USC00213965",2011-05-01,296669,15,21.7069,-157.9824
"285","USC00213965",2011-05-02,296671,15,20.9268,-156.3114
"286","USC00214418",2011-03-05,279343,22,30,-90.25
"287","USC00214692",2011-04-04,301244,1,33.7612,-86.8145
"288","USC00214692",2011-05-02,296670,15,20.0358,-155.6708
"289","USC00215989",2011-08-06,340450,13,33.4585,-84.4434
"290","USC00215989",2011-08-29,329582,31,41.7657,-103.3244
"291","USC00216612",2011-07-27,332361,19,42.52,-90.76
"292","USC00216612",2011-07-28,332724,17,42.41,-90.39
"293","USC00216612",2011-07-28,332724,17,42.41,-90.39
"294","USC00216612",2011-07-28,332724,17,42.41,-90.39
"295","USC00216612",2011-07-28,332416,19,42.5,-90.74
"296","USC00216612",2011-07-28,332416,19,42.5,-90.74
"297","USC00216612",2011-07-28,332416,19,42.5,-90.74
"298","USC00216612",2011-07-28,337225,55,44.52,-89.57
"299","USC00216612",2011-07-28,337225,55,44.52,-89.57
"300","USC00216612",2011-07-28,337225,55,44.52,-89.57
"301","USC00216612",2011-09-03,331980,1,31.5333,-85.9833
"302","USC00219059",2011-06-06,328417,30,48.13,-106.36
"303","USC00219072",2011-09-04,331038,21,38.05,-84.73
"304","USC00219134",2011-07-28,332420,19,42.45,-90.85
"305","USC00220523",2011-08-09,329639,13,31.85,-82.35
"306","USC00221094",2011-08-16,344898,4,32.3378,-111.0666
"307","USC00221738",2011-07-27,332710,17,42.35,-90.01
